Rank,Title,Type,Premiere,Genre,Watchtime in Million
1,The Night Agent,TV Show,2023,Action,812.1
2,Ginny & Georgia,TV Show,2021,Drama,665.1
3,The Glory,TV Show,2022,Thriller,622.8
4,Wednesday,TV Show,2022,Fantasy,507.7
5,Queen Charlotte: A Bridgerton Story,TV Show,2023,Drama,503
6,You,TV Show,2018,Crime,440.6
7,La Reina del Sur,TV Show,2011,Drama,429.6
8,Outer Banks,TV Show,2020,Drama,402.5
9,Ginny & Georgia,TV Show,2021,Drama,302.1
10,FUBAR,TV Show,2023,Action,266.2
11,Manifest,TV Show,2018,Thriller,262.6
12,Kaleidoscope,TV Show,2023,Crime,252.5
13,Firefly Lane,TV Show,2021,Drama,251.5
14,The Mother,Movie,2023,Thriller,249.9
15,Physical: 100,TV Show,2023,Reality-Show,235
16,Crash Course In Romance,TV Show,2023,Comedy,234.8
17,Love Is Blind,TV Show,2020,Reality-Show,229.7
18,Beef,TV Show,2023,Comedy,221.1
19,The Diplomat,TV Show,2023,Drama,214.1
20,Luther: The Fallen Sun,Movie,2023,Crime,209.7
21,Perfil falso,TV Show,2023,Drama,206.5
22,Vikings: Valhalla,TV Show,2022,History,205.5
23,Extraction 2,Movie,2023,Action,201.8
24,"XO, Kitty",TV Show,2023,Comedy,200.7
25,Doctor Cha,TV Show,2023,Comedy,194.7
26,Shadow and Bone,TV Show,2021,Fantasy,192.9
27,Outer Banks,TV Show,2020,Drama,184
28,Sweet Tooth,TV Show,2021,Superhero,182.3
29,You People,Movie,2023,Comedy,181.8
30,Perfect Match,TV Show,2023,Reality-Show,176.8
31,Sex/Life,TV Show,2021,Drama,175.5
32,The Marked Heart,TV Show,2022,Thriller,174.3
33,Murder Mystery 2,Movie,2023,Comedy,173.6
34,The Surrogacy,TV Show,2023,Drama,172.4
35,Pablo Escobar: El Patrón del Mal,TV Show,2012,Crime,170.1
36,Never Have I Ever,TV Show,2020,Comedy,168.3
37,Your Place or Mine,Movie,2023,Comedy,163
38,Chiquititas,TV Show,2013,Comedy,162
39,Emily in Paris,TV Show,2020,Drama,161.1
40,Alice in Borderland,TV Show,2020,Thriller,157.6
41,Alchemy of Souls,TV Show,2022,Fantasy,155.3
42,Outer Banks,TV Show,2020,Drama,153.9
43,New Amsterdam,TV Show,2018,Drama,153
44,Til Money Do Us Part,TV Show,2022,Drama,152.1
45,Mr. Queen,TV Show,2020,Comedy,151.5
46,Manifest,TV Show,2018,Thriller,151.4
47,Alchemy of Souls,TV Show,2022,Fantasy,150.2
48,Paw Patrol,TV Show,2013,Animation,149.3
49,The Good Bad Mother,TV Show,2023,Comedy,148.6
50,The Recruit,TV Show,2022,Action,146.9
51,Bloodhounds,TV Show,2023,Thriller,146.7
52,Glass Onion: A Knives Out Mystery,Movie,2022,Crime,142.9
53,Wrong Side of the Tracks,TV Show,2022,Drama,140.1
54,Black Mirror,TV Show,2011,Science Fiction,139.9
55,Triada,TV Show,2023,Drama,139.3
56,The Walking Dead,TV Show,2010,Horror,136.8
57,Bridgerton,TV Show,2020,History,136.6
58,Cocomelon,TV Show,2020,Animation,136.2
59,Extraordinary Attorney Woo,TV Show,2022,Drama,135.9
60,The Snow Girl,TV Show,2023,Crime,134.8
61,Stranger Things,TV Show,2016,Thriller,133.6
62,The Marked Heart,TV Show,2022,Thriller,133.5
63,Bridgerton,TV Show,2020,History,133.4
64,Little Angel,TV Show,2022,Animation,132.1
65,Paw Patrol,TV Show,2013,Animation,130.7
66,Pasión de gavilanes,TV Show,2003,Drama,129.2
67,Suits,TV Show,2011,Drama,129.1
68,Sex/Life,TV Show,2021,Drama,126.4
69,We Have a Ghost,Movie,2023,Adventure,124.4
70,You,TV Show,2018,Crime,123.5
71,Business Proposal,TV Show,2022,Drama,120.7
72,The Pale Blue Eye,Movie,2023,Crime,120.5
73,Crash Landing on You,TV Show,2019,Comedy,120.3
74,AKA,Movie,2023,Action,120
75,MH370: The Plane That Disappeared,TV Show,2023,Documentary,118.9
76,Queenmaker,TV Show,2023,Drama,118.6
77,Vikings: Valhalla,TV Show,2022,History,116.5
78,Breaking Bad,TV Show,2008,Crime,116.2
79,El silencio,TV Show,2023,Crime,115.8
80,Lockwood & Co.,TV Show,2023,Fantasy,113.6
81,You,TV Show,2018,Crime,107.2
82,Breaking Bad,TV Show,2008,Crime,107
83,Suits,TV Show,2011,Drama,106.6
84,Murdaugh Murders: A Southern Scandal,TV Show,2023,Documentary,104.6
85,Welcome to Eden,TV Show,2022,Science Fiction,104.5
86,Breaking Bad,TV Show,2008,Crime,104.3
87,Lucifer,TV Show,2016,Superhero,102.8
88,Cocomelon,TV Show,2020,Animation,102.3
89,Café con aroma de mujer,TV Show,2021,Drama,101.7
90,Love to Hate You,TV Show,2023,Comedy,99.9
91,The Blacklist,TV Show,2013,Crime,99.9
92,Shadow and Bone,TV Show,2021,Fantasy,99.5
93,The Unbroken Voice,TV Show,2022,Drama,99
94,Designated Survivor,TV Show,2016,Action,98.5
95,The Interest of Love,TV Show,2022,Drama,97.8
96,Wrong Side of the Tracks,TV Show,2022,Drama,97.6
97,Minions: The Rise of Gru,Movie,2022,Animation,96.4
98,Demon Slayer: Kimetsu no Yaiba,TV Show,2019,Animation,95.8
